temp_min_C,temp_mean_C,temp_max_C,daylight_duration_sec,wind_speed_kph,wind_gusts_kph,radiation_MJm2,precip_sum,year,month,state
-2.75,-1.2,1.9,36132.117,11.609651,29.88,10.08,0.2,2001,1,ALABAMA
-5.9,-2.29,3.35,36165.88,11.901798,33.48,13.32,0.0,2001,1,ALABAMA
-5.2,-1.49,4.4,36202.312,11.212135,20.880001,13.72,0.0,2001,1,ALABAMA
-4.05,-0.07,7.0,36241.367,9.686609,19.8,13.24,0.0,2001,1,ALABAMA
-2.0,2.75,11.25,36282.965,14.471821,34.92,13.02,0.0,2001,1,ALABAMA
-0.6,4.39,11.25,36327.043,14.77755,26.28,13.21,0.0,2001,1,ALABAMA
1.7,5.99,13.8,36373.547,11.753877,25.199999,8.26,2.3000002,2001,1,ALABAMA
2.6,7.16,11.4,36422.406,19.376562,46.079998,11.36,14.0,2001,1,ALABAMA
-2.1,1.32,4.45,36473.562,17.22742,43.56,13.65,0.0,2001,1,ALABAMA
-3.25,1.12,8.1,36526.95,10.661107,20.880001,11.91,0.0,2001,1,ALABAMA
0.25,2.77,7.9,36582.5,14.512064,37.079998,3.58,4.2000003,2001,1,ALABAMA
3.25,6.08,8.45,36640.152,16.1198,36.0,7.21,2.0,2001,1,ALABAMA
1.2,5.9,12.65,36699.973,12.074766,28.08,11.46,0.0,2001,1,ALABAMA
5.05,7.8,12.65,36762.63,12.218805,24.84,3.2,0.0,2001,1,ALABAMA
10.5,11.83,13.55,36828.117,11.440978,25.919998,4.76,2.3999999,2001,1,ALABAMA
4.75,6.87,10.9,36896.324,11.901798,22.319998,2.26,4.3,2001,1,ALABAMA
5.0,7.1,10.7,36967.1,10.163227,23.039999,3.03,5.4000006,2001,1,ALABAMA
10.0,12.26,16.35,37040.332,13.493999,36.719997,3.21,15.000001,2001,1,ALABAMA
5.6,13.92,17.25,37115.895,21.273533,63.0,2.37,20.999998,2001,1,ALABAMA
1.2,2.69,4.7,37193.656,19.107151,45.0,9.43,2.0,2001,1,ALABAMA
-2.7,0.71,5.7,37273.504,13.479583,28.44,13.65,0.0,2001,1,ALABAMA
-2.2,1.61,8.3,37355.3,9.0645685,22.68,14.93,0.0,2001,1,ALABAMA
-1.55,3.31,10.6,37438.934,10.538843,20.880001,13.61,0.0,2001,1,ALABAMA
0.5,5.02,12.0,37524.293,12.57426,30.599998,13.41,0.1,2001,1,ALABAMA
0.6,4.66,7.8,37611.246,14.973576,35.64,15.7,0.0,2001,1,ALABAMA
-1.8,3.07,10.25,37699.684,12.599999,31.319998,11.69,0.0,2001,1,ALABAMA
