temp_min_C,temp_mean_C,temp_max_C,daylight_duration_sec,wind_speed_kph,wind_gusts_kph,radiation_MJm2,precip_sum,year,month,state
-16.61,-13.85,-12.66,20115.703,3.6,23.4,0.78,2.8,2001,1,ALASKA
-22.16,-20.04,-16.91,20255.094,5.3999996,19.08,0.86,0.0,2001,1,ALASKA
-20.16,-16.96,-14.26,20404.703,6.4096174,35.64,0.84,0.0,2001,1,ALASKA
-19.31,-15.87,-12.71,20564.115,3.8268526,25.56,0.76,0.0,2001,1,ALASKA
-21.96,-21.01,-19.21,20732.895,4.5820518,21.24,0.96,0.0,2001,1,ALASKA
-21.26,-18.41,-15.81,20910.63,4.6938257,55.8,0.78,7.1,2001,1,ALASKA
-17.56,-15.7,-13.91,21096.912,8.089993,70.92,0.46,36.500004,2001,1,ALASKA
-17.96,-16.48,-14.06,21291.314,8.12197,83.159996,0.67,17.100002,2001,1,ALASKA
-21.91,-18.77,-16.81,21493.441,4.8965297,23.759998,0.96,1.3000001,2001,1,ALASKA
-25.31,-23.54,-20.61,21702.889,8.049845,45.719997,1.06,0.2,2001,1,ALASKA
-25.51,-22.63,-19.96,21919.268,5.2416787,54.0,0.85,2.4,2001,1,ALASKA
-19.81,-17.59,-15.71,22142.2,7.342588,67.67999,0.6,21.700003,2001,1,ALASKA
-16.91,-15.1,-13.66,22371.79,4.0249224,39.239998,0.66,7.2999997,2001,1,ALASKA
-14.31,-13.89,-12.66,22610.46,9.028754,68.76,0.52,32.2,2001,1,ALASKA
-13.21,-12.35,-11.61,22858.03,10.495713,101.88,0.75,53.500004,2001,1,ALASKA
-17.41,-15.61,-12.61,23113.828,3.7585104,34.92,1.15,0.0,2001,1,ALASKA
-16.66,-13.41,-11.21,23377.219,8.557102,77.03999,0.88,13.599999,2001,1,ALASKA
-13.81,-12.85,-11.21,23647.574,8.557102,80.28,0.73,31.100002,2001,1,ALASKA
-15.46,-13.52,-11.81,23924.31,7.968939,88.92,1.13,22.9,2001,1,ALASKA
-15.86,-15.24,-14.61,24206.844,5.5887027,51.839996,1.16,5.1999993,2001,1,ALASKA
-17.51,-15.2,-13.76,24494.623,6.830519,63.72,1.31,14.3,2001,1,ALASKA
-16.26,-15.42,-14.76,24787.13,5.495161,56.519997,0.89,19.7,2001,1,ALASKA
-14.81,-14.61,-14.41,25083.863,3.6179552,33.839996,1.18,11.4000025,2001,1,ALASKA
-17.06,-15.76,-14.36,25384.336,7.9526596,61.199997,1.13,13.0,2001,1,ALASKA
-17.66,-15.66,-14.61,25688.102,6.9899354,55.8,1.48,16.9,2001,1,ALASKA
-16.76,-16.26,-15.91,25994.715,9.793058,83.159996,1.26,28.300001,2001,1,ALASKA
-18.51,-16.48,-15.26,26303.768,5.315336,42.839996,1.92,7.0000005,2001,1,ALASKA
-22.26,-19.98,-17.86,26614.854,5.8048253,38.16,2.53,0.0,2001,1,ALASKA
-18.96,-16.93,-16.11,26927.605,3.671294,28.08,2.35,0.0,2001,1,ALASKA
-18.11,-16.69,-15.91,27241.656,3.9763298,35.64,1.95,7.0,2001,1,ALASKA
-19.41,-18.47,-17.21,27556.672,4.3498964,37.079998,1.71,7.900001,2001,1,ALASKA
-18.76,-16.73,-15.71,27872.324,5.5887027,34.92,1.86,9.500001,2001,2,ALASKA
-23.66,-21.72,-19.06,28188.873,4.8965297,33.12,3.16,0.0,2001,2,ALASKA
-27.76,-24.94,-22.71,28509.477,5.3999996,27.0,3.24,0.0,2001,2,ALASKA
-26.96,-23.93,-20.26,28834.256,4.3498964,29.519999,2.48,2.3000002,2001,2,ALASKA
-19.86,-17.08,-15.66,29162.762,2.9024127,33.839996,2.26,0.90000004,2001,2,ALASKA
-16.26,-15.68,-14.76,29494.555,6.924738,62.639996,1.95,20.5,2001,2,ALASKA
-21.06,-17.98,-15.66,29829.23,6.1305785,28.44,3.0,1.1,2001,2,ALASKA
-23.26,-18.78,-14.06,30166.39,6.9153743,35.64,3.05,0.0,2001,2,ALASKA
-23.76,-20.6,-16.21,30505.668,6.9527545,48.239998,3.44,3.3,2001,2,ALASKA
-23.81,-20.04,-16.51,30846.695,5.991594,36.36,3.82,0.0,2001,2,ALASKA
-16.36,-14.42,-13.06,31189.143,2.5959969,43.56,2.11,11.700001,2001,2,ALASKA
-17.61,-16.18,-13.81,31532.67,7.10031,48.239998,2.93,11.300001,2001,2,ALASKA
-20.81,-19.1,-15.11,31876.973,6.9247384,50.76,5.07,0.0,2001,2,ALASKA
-15.41,-12.38,-9.81,32221.746,5.692099,36.719997,4.58,0.0,2001,2,ALASKA
-16.06,-13.73,-10.96,32566.701,2.968636,51.48,3.43,2.5000002,2001,2,ALASKA
-15.76,-15.11,-14.61,32911.566,6.489992,54.36,2.23,10.600001,2001,2,ALASKA
-18.66,-16.93,-14.46,33256.062,9.0645685,72.36,4.09,2.9000003,2001,2,ALASKA
-14.76,-12.23,-9.26,33599.938,4.510787,43.199997,5.13,0.0,2001,2,ALASKA
-13.41,-11.23,-9.11,33942.95,4.0249224,44.639996,3.82,3.9000003,2001,2,ALASKA
-13.16,-12.95,-12.81,34284.84,3.8939953,39.239998,3.63,6.799999,2001,2,ALASKA
-21.16,-17.74,-13.56,34625.38,5.3999996,24.84,5.28,0.0,2001,2,ALASKA
-15.91,-13.74,-12.71,34964.87,4.8965297,21.96,6.35,0.0,2001,2,ALASKA
-12.66,-11.84,-11.16,35306.207,5.6233797,19.08,6.85,0.0,2001,2,ALASKA
-18.66,-14.11,-11.71,35649.637,5.3999996,23.759998,7.66,0.0,2001,2,ALASKA
-20.06,-18.63,-15.71,35994.902,4.198285,44.639996,5.23,2.5,2001,2,ALASKA
-18.56,-17.03,-15.11,36341.74,4.452954,58.32,4.36,26.900002,2001,2,ALASKA
-16.56,-15.7,-12.91,36689.9,9.47012,83.159996,4.26,26.599998,2001,2,ALASKA
-23.66,-18.85,-12.71,37039.145,5.95906,40.32,6.27,2.3,2001,2,ALASKA
-21.26,-20.41,-19.61,37389.242,3.396233,25.919998,6.2,0.9,2001,3,ALASKA
-27.81,-23.77,-20.76,37739.97,5.1165614,21.96,7.23,1.2,2001,3,ALASKA
-22.36,-20.64,-17.86,38091.1,4.0249224,21.96,8.27,0.0,2001,3,ALASKA
-18.56,-17.69,-16.81,38442.418,8.4042845,70.2,5.61,2.4,2001,3,ALASKA
-17.91,-17.28,-15.91,38793.723,9.531505,75.24,4.56,16.300001,2001,3,ALASKA
-16.96,-16.39,-15.56,39144.797,4.6938257,47.519997,6.46,9.600002,2001,3,ALASKA
-18.56,-17.6,-16.96,39495.453,4.3349743,32.399998,8.39,0.6,2001,3,ALASKA
-18.96,-17.01,-15.11,39845.477,5.2416787,40.32,7.82,3.3999996,2001,3,ALASKA
