temp_min_C,temp_mean_C,temp_max_C,daylight_duration_sec,wind_speed_kph,wind_gusts_kph,radiation_MJm2,precip_sum,year,month,state
-0.0,6.51,15.55,35862.613,8.942214,21.96,9.32,0.0,2001,1,ARIZONA
-0.75,6.88,16.4,35897.67,15.986593,42.12,12.78,0.0,2001,1,ARIZONA
-1.35,6.19,17.95,35935.504,12.984975,34.56,13.23,0.0,2001,1,ARIZONA
-1.4,6.75,18.75,35976.05,12.984975,30.599998,13.28,0.0,2001,1,ARIZONA
-0.35,7.66,18.3,36019.24,11.720751,27.0,11.27,0.0,2001,1,ARIZONA
3.65,9.61,17.1,36065.004,7.9036193,22.319998,10.12,0.2,2001,1,ARIZONA
0.75,8.44,16.75,36113.285,7.145796,20.16,12.82,0.0,2001,1,ARIZONA
2.5,8.4,15.75,36164.01,14.48972,38.16,11.89,0.0,2001,1,ARIZONA
4.7,8.36,14.2,36217.117,11.384199,34.56,9.35,12.400002,2001,1,ARIZONA
2.9,6.66,10.35,36272.535,8.942214,24.84,7.91,0.4,2001,1,ARIZONA
1.0,6.1,13.75,36330.2,15.158522,40.68,13.06,0.0,2001,1,ARIZONA
1.9,4.78,12.1,36390.05,11.480557,47.88,4.24,16.999998,2001,1,ARIZONA
0.3,2.7,7.3,36452.14,7.9036193,22.68,9.93,1.0,2001,1,ARIZONA
-3.75,2.06,9.0,36517.17,7.2,19.08,13.8,0.0,2001,1,ARIZONA
-3.85,2.09,8.15,36585.145,12.218805,30.239998,13.14,0.0,2001,1,ARIZONA
-1.6,1.1,6.45,36655.926,8.14587,29.519999,7.67,11.0,2001,1,ARIZONA
-7.2,-1.56,5.85,36729.375,8.714677,22.319998,13.53,0.90000004,2001,1,ARIZONA
-7.85,-1.48,6.25,36805.375,10.703569,31.319998,14.68,0.0,2001,1,ARIZONA
-6.9,-0.43,8.8,36883.777,9.931042,25.199999,14.45,0.0,2001,1,ARIZONA
-2.7,2.77,12.5,36964.47,8.913181,22.319998,14.66,0.0,2001,1,ARIZONA
-3.65,3.45,14.75,37047.31,13.513193,32.399998,15.04,0.0,2001,1,ARIZONA
-0.4,5.71,15.45,37132.176,11.525623,28.08,12.37,0.0,2001,1,ARIZONA
-1.25,5.83,14.2,37218.945,8.161764,22.68,14.46,0.0,2001,1,ARIZONA
-1.2,5.91,15.3,37307.49,13.324863,32.760002,14.79,0.0,2001,1,ARIZONA
0.8,6.71,14.05,37397.688,11.212135,30.960001,14.72,0.0,2001,1,ARIZONA
-3.05,3.71,12.85,37489.426,11.5199995,31.319998,14.19,0.0,2001,1,ARIZONA
0.55,4.4,11.25,37582.582,10.691453,35.64,5.41,16.099998,2001,1,ARIZONA
-3.2,0.23,3.5,37677.035,7.24486,24.119999,12.79,7.2,2001,1,ARIZONA
-2.15,1.46,5.35,37772.67,7.10031,23.4,11.18,1.6,2001,1,ARIZONA
-2.6,2.14,6.95,37869.39,9.36,28.44,15.17,0.0,2001,1,ARIZONA
-5.65,0.21,8.3,37967.062,11.212135,31.319998,12.95,0.0,2001,1,ARIZONA
-4.75,1.57,11.25,38065.594,13.276144,38.88,16.2,0.0,2001,2,ARIZONA
-3.6,3.0,13.55,38165.05,11.246759,32.399998,16.39,0.0,2001,2,ARIZONA
-1.25,6.33,17.05,38266.43,9.686609,24.84,16.06,0.0,2001,2,ARIZONA
0.45,8.7,20.6,38369.78,12.984975,32.039997,16.26,0.0,2001,2,ARIZONA
1.2,9.72,20.15,38474.97,10.195057,24.84,16.44,0.0,2001,2,ARIZONA
2.35,10.89,18.75,38581.855,14.205182,38.88,16.25,0.0,2001,2,ARIZONA
5.9,10.78,17.95,38690.32,26.00486,64.799995,14.51,0.3,2001,2,ARIZONA
-0.5,3.37,10.6,38800.234,15.315873,47.16,8.69,5.7,2001,2,ARIZONA
-5.3,0.83,8.05,38911.47,13.708391,43.56,17.33,0.0,2001,2,ARIZONA
-3.4,2.54,12.6,39023.902,12.758432,34.56,16.49,0.0,2001,2,ARIZONA
-2.9,6.07,11.55,39137.418,9.693296,32.399998,17.49,0.0,2001,2,ARIZONA
-2.65,4.76,13.7,39251.89,13.722565,37.8,17.9,0.0,2001,2,ARIZONA
-0.75,4.88,12.85,39367.21,23.977188,79.92,9.51,7.0,2001,2,ARIZONA
-0.75,2.57,5.6,39483.258,14.654254,68.03999,9.98,12.9,2001,2,ARIZONA
-6.0,0.44,7.55,39599.92,10.163227,28.44,17.41,0.0,2001,2,ARIZONA
-3.9,2.71,11.8,39717.09,8.654987,24.48,16.05,0.0,2001,2,ARIZONA
-2.25,4.46,14.4,39834.656,12.475961,30.599998,13.05,0.0,2001,2,ARIZONA
3.3,9.09,16.8,39952.51,9.793059,27.72,17.26,0.0,2001,2,ARIZONA
-0.3,8.51,16.3,40070.555,9.885262,28.08,18.87,0.0,2001,2,ARIZONA
1.4,9.14,16.55,40188.676,10.464797,25.919998,17.86,0.0,2001,2,ARIZONA
0.05,8.98,17.3,40306.77,7.7043357,24.84,19.04,0.0,2001,2,ARIZONA
0.75,9.5,17.8,40424.92,9.931042,27.0,16.14,0.0,2001,2,ARIZONA
4.15,8.38,16.0,40544.13,16.299694,45.0,14.19,0.0,2001,2,ARIZONA
-1.8,3.68,9.25,40664.47,14.291592,44.28,17.23,0.0,2001,2,ARIZONA
-0.45,6.34,12.55,40785.832,8.39657,30.960001,13.44,0.0,2001,2,ARIZONA
3.2,7.57,12.15,40908.125,13.854155,38.88,13.17,3.6,2001,2,ARIZONA
0.1,6.27,13.85,41031.24,17.388409,45.719997,16.78,0.0,2001,2,ARIZONA
2.15,5.33,10.15,41155.08,12.6462,43.56,11.03,18.4,2001,2,ARIZONA
-1.4,4.54,10.7,41279.547,7.127636,34.92,17.71,3.9,2001,3,ARIZONA
-2.7,4.9,11.9,41404.547,11.384199,32.399998,20.38,0.3,2001,3,ARIZONA
1.9,6.41,10.7,41529.98,13.905509,34.56,15.56,1.3000001,2001,3,ARIZONA
-1.35,6.52,16.65,41655.766,10.233123,29.88,20.1,0.0,2001,3,ARIZONA
2.1,9.31,19.2,41781.793,11.592894,29.88,16.08,0.0,2001,3,ARIZONA
4.8,11.4,18.1,41907.98,10.182337,31.319998,18.24,0.0,2001,3,ARIZONA
5.75,8.7,15.4,42034.24,7.2,28.08,5.5,22.5,2001,3,ARIZONA
5.0,7.39,12.25,42160.465,9.360001,25.199999,12.01,0.2,2001,3,ARIZONA
3.2,8.59,15.45,42286.582,14.145756,39.6,15.39,0.0,2001,3,ARIZONA
2.3,6.88,14.2,42412.496,12.10157,44.639996,15.69,13.100001,2001,3,ARIZONA
0.2,4.22,7.75,42538.12,12.819235,35.64,11.24,0.6,2001,3,ARIZONA
-0.65,6.09,13.45,42663.355,7.7043357,29.519999,18.88,0.3,2001,3,ARIZONA
-0.8,7.89,16.0,42788.12,12.864649,29.88,22.77,0.0,2001,3,ARIZONA
2.05,10.13,15.35,42912.496,14.182355,35.28,22.64,0.0,2001,3,ARIZONA
0.25,8.64,16.2,43037.387,11.923557,31.68,23.76,0.0,2001,3,ARIZONA
2.3,9.71,17.05,43162.89,13.53236,35.64,22.78,0.0,2001,3,ARIZONA
3.75,11.45,15.85,43288.914,12.4811535,34.92,23.39,0.0,2001,3,ARIZONA
0.95,9.66,18.3,43415.383,10.495713,27.359999,23.73,0.0,2001,3,ARIZONA
2.6,11.72,21.75,43542.21,11.200571,28.44,23.89,0.0,2001,3,ARIZONA
4.2,13.89,24.4,43669.32,11.480557,27.72,24.08,0.0,2001,3,ARIZONA
4.8,15.25,23.65,43796.62,10.495713,26.28,23.96,0.0,2001,3,ARIZONA
6.45,15.59,23.5,43924.043,12.682018,32.760002,23.5,0.0,2001,3,ARIZONA
4.55,14.96,22.8,44051.504,9.422101,28.8,24.77,0.0,2001,3,ARIZONA
4.4,14.82,23.9,44178.91,8.654987,24.119999,24.7,0.0,2001,3,ARIZONA
4.7,15.19,23.3,44306.188,9.793059,28.8,24.92,0.0,2001,3,ARIZONA
5.25,14.27,22.35,44433.26,10.495713,30.599998,22.37,0.0,2001,3,ARIZONA
4.45,13.78,20.9,44560.04,14.168641,41.399998,23.14,0.0,2001,3,ARIZONA
4.4,12.65,20.6,44686.44,13.358861,39.239998,21.37,0.1,2001,3,ARIZONA
5.85,14.99,21.8,44812.383,15.5843,45.36,24.84,0.0,2001,3,ARIZONA
6.1,15.66,21.5,44937.777,14.417988,44.28,25.05,0.0,2001,3,ARIZONA
4.55,14.86,23.05,45062.54,12.181625,30.960001,25.91,0.0,2001,3,ARIZONA
6.95,16.32,23.25,45186.582,13.896187,37.44,25.19,0.0,2001,4,ARIZONA
9.95,16.29,22.8,45309.824,16.179987,45.719997,25.27,0.0,2001,4,ARIZONA
9.35,15.03,20.85,45432.324,18.837322,50.399998,23.67,0.0,2001,4,ARIZONA
8.25,14.56,19.8,45554.953,15.509274,48.96,22.49,0.0,2001,4,ARIZONA
9.15,13.37,19.1,45677.785,22.7057,63.36,10.6,0.2,2001,4,ARIZONA
4.8,7.58,11.45,45800.74,15.277749,51.12,15.76,29.3,2001,4,ARIZONA
2.65,8.85,15.3,45923.74,20.730501,53.639996,24.76,0.0,2001,4,ARIZONA
5.75,9.45,14.7,46046.703,17.974781,53.639996,22.07,0.0,2001,4,ARIZONA
1.5,8.61,14.75,46169.555,15.137133,41.399998,26.97,0.0,2001,4,ARIZONA
1.35,6.36,14.3,46292.21,18.218275,54.0,15.15,5.8,2001,4,ARIZONA
-1.85,4.54,11.7,46414.594,12.594856,49.32,24.63,0.2,2001,4,ARIZONA
3.0,7.68,13.6,46536.61,11.480557,33.48,22.74,0.1,2001,4,ARIZONA
1.2,10.29,20.45,46658.184,9.220499,24.84,27.59,0.0,2001,4,ARIZONA
2.9,13.35,20.95,46779.223,9.227524,26.64,28.42,0.0,2001,4,ARIZONA
2.55,13.6,23.6,46899.64,9.422101,24.84,28.58,0.0,2001,4,ARIZONA
4.05,15.48,26.1,47019.355,10.182337,22.68,28.61,0.0,2001,4,ARIZONA
5.4,17.67,28.35,47138.266,9.931042,22.68,28.56,0.0,2001,4,ARIZONA
9.6,19.34,28.15,47256.29,13.37825,33.48,26.7,0.0,2001,4,ARIZONA
13.95,21.62,27.5,47373.324,13.276144,35.28,17.14,0.0,2001,4,ARIZONA
9.75,16.89,23.5,47489.277,18.171976,53.28,27.4,0.0,2001,4,ARIZONA
6.85,12.06,18.6,47604.055,23.828083,61.56,23.0,0.6,2001,4,ARIZONA
2.85,6.37,13.7,47717.555,15.226764,59.039997,20.88,6.2999997,2001,4,ARIZONA
2.35,11.23,22.45,47829.83,9.673221,27.359999,28.86,0.0,2001,4,ARIZONA
5.1,15.59,26.45,47941.7,17.673029,46.44,29.22,0.0,2001,4,ARIZONA
8.2,18.39,28.75,48053.24,14.003029,37.8,28.18,0.0,2001,4,ARIZONA
10.0,20.22,28.85,48164.36,10.009036,27.72,27.71,0.0,2001,4,ARIZONA
11.25,20.39,28.25,48274.98,12.031756,37.079998,25.38,0.2,2001,4,ARIZONA
9.8,19.14,27.2,48385.008,15.315873,41.399998,28.62,0.0,2001,4,ARIZONA
10.15,20.91,26.45,48494.355,12.819235,37.8,29.94,0.0,2001,4,ARIZONA
