temp_min_C,temp_mean_C,temp_max_C,daylight_duration_sec,wind_speed_kph,wind_gusts_kph,radiation_MJm2,precip_sum,year,month,state
-15.26,-7.34,-1.31,35478.793,11.013882,20.519999,12.06,1.0,2001,1,ARKANSAS
-15.96,-9.52,-2.86,35515.707,11.440979,21.24,12.54,0.0,2001,1,ARKANSAS
-15.46,-8.0,2.89,35555.547,11.304229,24.119999,12.03,0.0,2001,1,ARKANSAS
-7.31,-1.34,7.79,35598.24,11.435313,20.16,12.07,0.0,2001,1,ARKANSAS
-0.46,3.41,12.09,35643.71,14.372974,27.359999,12.2,0.0,2001,1,ARKANSAS
-2.26,3.66,13.09,35691.89,13.830749,26.64,12.18,0.0,2001,1,ARKANSAS
1.74,5.51,11.04,35742.723,14.512064,33.839996,7.96,0.0,2001,1,ARKANSAS
-2.36,2.75,7.54,35796.12,15.986593,38.88,9.94,0.0,2001,1,ARKANSAS
-3.96,0.22,4.89,35852.02,10.948973,22.68,12.61,0.0,2001,1,ARKANSAS
-3.91,-0.24,6.69,35910.355,9.220499,23.039999,11.59,0.0,2001,1,ARKANSAS
0.39,1.35,3.49,35971.047,10.086427,26.64,2.12,12.5,2001,1,ARKANSAS
-0.76,3.52,9.29,36034.035,10.594036,19.8,10.93,0.0,2001,1,ARKANSAS
1.29,3.65,7.94,36099.38,12.783802,40.32,7.55,1.8000001,2001,1,ARKANSAS
5.69,8.13,11.19,36167.81,15.629972,40.32,8.02,5.5,2001,1,ARKANSAS
-1.81,4.46,11.69,36239.332,12.229406,23.4,12.79,0.0,2001,1,ARKANSAS
-0.61,3.12,7.39,36313.81,11.753877,30.239998,7.18,1.2,2001,1,ARKANSAS
1.19,2.1,4.49,36391.086,15.0038395,33.839996,1.8,17.500002,2001,1,ARKANSAS
0.69,1.6,3.24,36471.035,12.7279215,27.0,1.45,11.099999,2001,1,ARKANSAS
0.44,2.54,4.19,36553.51,19.164719,50.039997,8.14,3.1000001,2001,1,ARKANSAS
-4.46,-0.56,3.54,36638.387,13.891522,27.72,13.77,0.0,2001,1,ARKANSAS
-4.31,0.07,6.54,36725.516,6.5693827,20.16,9.81,0.0,2001,1,ARKANSAS
-3.51,1.54,9.39,36814.77,6.28713,15.84,13.61,0.0,2001,1,ARKANSAS
-1.76,2.81,9.89,36906.02,8.049845,17.64,9.9,0.0,2001,1,ARKANSAS
-1.06,4.44,12.29,36999.125,9.793059,25.199999,9.61,0.0,2001,1,ARKANSAS
-3.21,1.73,8.49,37093.965,13.358861,29.88,14.49,0.0,2001,1,ARKANSAS
-1.16,5.03,15.74,37190.414,18.947083,44.28,10.5,0.8,2001,1,ARKANSAS
-0.86,4.24,11.09,37288.344,14.458382,29.16,14.01,0.0,2001,1,ARKANSAS
3.44,6.16,14.14,37387.633,12.599998,31.68,8.83,0.3,2001,1,ARKANSAS
8.79,12.35,14.34,37488.16,24.696104,84.6,3.79,27.0,2001,1,ARKANSAS
7.89,10.23,15.54,37589.81,23.993399,54.36,14.71,0.0,2001,1,ARKANSAS
3.74,7.41,11.59,37692.457,19.33639,44.28,10.64,0.0,2001,1,ARKANSAS
-0.76,4.4,10.89,37796.0,10.1887,22.319998,15.35,0.0,2001,2,ARKANSAS
-1.91,2.63,7.64,37900.508,15.1884165,29.519999,15.77,0.0,2001,2,ARKANSAS
-3.21,2.27,11.89,38007.027,12.261158,30.239998,15.13,0.0,2001,2,ARKANSAS
2.79,6.7,13.99,38115.605,18.556595,45.0,12.82,0.0,2001,2,ARKANSAS
-1.26,5.78,12.69,38226.11,15.281989,29.519999,15.44,0.0,2001,2,ARKANSAS
2.34,8.27,17.14,38338.39,13.084402,24.84,14.09,0.0,2001,2,ARKANSAS
11.19,14.32,20.14,38452.32,19.443333,44.639996,8.51,0.0,2001,2,ARKANSAS
15.14,17.37,21.44,38567.758,21.626984,55.8,9.04,0.70000005,2001,2,ARKANSAS
5.54,15.14,19.04,38684.582,29.16889,79.2,3.42,9.099999,2001,2,ARKANSAS
-2.31,1.54,5.99,38802.652,21.096123,50.76,16.6,0.0,2001,2,ARKANSAS
-1.96,0.53,3.69,38921.848,11.269782,27.359999,6.29,0.90000004,2001,2,ARKANSAS
0.99,2.98,6.19,39042.05,8.557102,14.759999,3.3,0.5,2001,2,ARKANSAS
5.39,6.79,9.29,39163.12,7.628263,32.039997,1.52,16.3,2001,2,ARKANSAS
8.99,13.65,18.94,39284.953,17.22742,41.039997,2.81,4.5999994,2001,2,ARKANSAS
12.54,15.39,17.54,39407.42,13.397612,35.64,3.38,25.699997,2001,2,ARKANSAS
2.39,9.17,12.69,39530.418,23.157824,54.0,2.01,50.000004,2001,2,ARKANSAS
-1.41,2.05,6.89,39653.824,16.808569,40.68,16.47,0.7,2001,2,ARKANSAS
-3.66,1.68,7.34,39777.523,8.647496,23.759998,17.13,0.0,2001,2,ARKANSAS
-0.26,5.92,16.29,39901.406,17.114204,40.32,17.02,0.0,2001,2,ARKANSAS
8.39,12.25,18.69,40025.37,13.039754,27.0,8.05,0.0,2001,2,ARKANSAS
4.64,9.36,16.74,40149.3,18.218275,43.92,2.74,2.7,2001,2,ARKANSAS
