temp_min_C,temp_mean_C,temp_max_C,daylight_duration_sec,wind_speed_kph,wind_gusts_kph,radiation_MJm2,precip_sum,year,month,state
5.11,10.53,18.46,35126.41,7.754637,14.04,11.08,0.0,2001,1,CALIFORNIA
4.26,10.6,19.51,35165.05,7.928178,15.4800005,11.36,0.0,2001,1,CALIFORNIA
5.31,11.22,19.36,35206.74,7.653705,15.119999,11.32,0.0,2001,1,CALIFORNIA
5.51,11.34,19.41,35251.414,7.7879906,14.759999,11.46,0.0,2001,1,CALIFORNIA
7.21,11.85,19.36,35299.0,8.435069,14.759999,10.8,0.0,2001,1,CALIFORNIA
4.31,12.14,20.16,35349.418,6.3690495,15.84,11.49,0.0,2001,1,CALIFORNIA
5.11,12.46,20.46,35402.6,8.699793,20.880001,10.9,0.0,2001,1,CALIFORNIA
10.46,12.71,19.36,35458.473,12.661564,23.039999,6.1,4.8,2001,1,CALIFORNIA
5.91,8.85,12.96,35516.96,10.97262,23.4,6.61,4.5,2001,1,CALIFORNIA
5.76,8.8,12.56,35577.992,15.175612,50.76,4.23,4.3,2001,1,CALIFORNIA
6.36,9.46,13.51,35641.48,23.469128,56.88,8.5,27.900002,2001,1,CALIFORNIA
5.81,9.4,14.26,35707.37,13.896187,34.56,10.02,2.2000003,2001,1,CALIFORNIA
4.86,8.71,14.11,35775.723,8.825508,15.84,10.87,0.0,2001,1,CALIFORNIA
3.76,8.41,13.81,35847.297,9.605998,23.4,7.98,0.0,2001,1,CALIFORNIA
2.91,7.17,12.11,35922.1,7.5685663,19.08,10.45,0.0,2001,1,CALIFORNIA
1.86,5.41,10.11,35999.984,7.7879906,18.359999,11.85,0.0,2001,1,CALIFORNIA
0.26,5.0,11.21,36080.797,7.729527,15.4800005,12.55,0.0,2001,1,CALIFORNIA
-0.04,5.09,11.76,36164.4,5.506941,14.759999,12.66,0.0,2001,1,CALIFORNIA
3.16,6.95,13.81,36250.633,7.8625183,18.359999,10.22,0.0,2001,1,CALIFORNIA
0.81,7.73,17.46,36339.367,9.6932955,19.8,12.46,0.0,2001,1,CALIFORNIA
3.16,10.09,17.91,36430.453,8.654987,13.679999,10.54,0.0,2001,1,CALIFORNIA
5.11,10.84,17.86,36523.758,6.638072,13.679999,12.34,0.0,2001,1,CALIFORNIA
4.96,10.83,18.46,36619.133,11.200571,27.72,13.08,0.0,2001,1,CALIFORNIA
7.81,10.95,17.96,36716.445,15.7908325,32.039997,8.64,12.900001,2001,1,CALIFORNIA
3.96,7.1,13.26,36815.562,12.429127,30.239998,11.0,0.2,2001,1,CALIFORNIA
4.31,8.25,13.06,36916.35,14.917212,36.719997,10.05,5.7,2001,1,CALIFORNIA
2.91,6.51,11.11,37018.684,7.8625183,19.8,10.92,0.0,2001,1,CALIFORNIA
1.06,6.24,13.56,37122.426,7.0911775,15.84,13.42,0.0,2001,1,CALIFORNIA
2.76,7.52,13.61,37227.457,10.233123,26.64,10.8,0.0,2001,1,CALIFORNIA
4.96,7.99,13.11,37333.65,11.631956,26.64,11.73,0.0,2001,1,CALIFORNIA
