temp_min_C,temp_mean_C,temp_max_C,daylight_duration_sec,wind_speed_kph,wind_gusts_kph,radiation_MJm2,precip_sum,year,month,state
-18.13,-10.83,1.42,34144.453,10.661107,31.319998,10.94,0.0,2001,1,COLORADO
-18.23,-9.3,-0.13,34187.965,10.1376915,22.68,11.1,0.0,2001,1,COLORADO
-14.28,-7.69,5.12,34234.906,11.542478,34.92,10.98,0.0,2001,1,COLORADO
-11.88,-4.29,8.87,34285.203,11.165805,32.760002,11.13,0.0,2001,1,COLORADO
-9.88,-2.87,9.17,34338.766,9.605998,30.599998,11.17,0.0,2001,1,COLORADO
-8.38,-2.07,7.47,34395.51,10.137692,27.0,10.66,0.0,2001,1,COLORADO
-9.98,-5.1,2.47,34455.36,9.826088,21.96,10.83,0.6,2001,1,COLORADO
-17.58,-8.18,4.92,34518.223,8.587338,21.96,11.91,0.0,2001,1,COLORADO
-12.88,-6.09,4.17,34584.02,11.4862,30.960001,10.93,0.0,2001,1,COLORADO
-10.83,-4.2,3.17,34652.66,11.440978,29.88,11.31,0.0,2001,1,COLORADO
-14.68,-6.49,3.77,34724.06,9.028754,24.84,11.77,0.0,2001,1,COLORADO
-10.53,-4.25,4.97,34798.137,16.199999,44.28,11.86,0.0,2001,1,COLORADO
-6.88,-3.92,0.42,34874.973,24.850431,65.159996,8.63,1.8000001,2001,1,COLORADO
-16.43,-10.1,-3.43,34955.418,14.182355,47.88,11.27,0.0,2001,1,COLORADO
-18.73,-11.47,-4.38,35039.473,12.229406,33.12,10.22,0.0,2001,1,COLORADO
-12.48,-10.57,-7.28,35126.973,10.00256,29.519999,5.98,6.1000004,2001,1,COLORADO
-27.48,-17.22,-6.23,35217.746,6.28713,20.16,12.59,0.0,2001,1,COLORADO
-23.28,-14.69,-4.53,35311.625,6.489992,21.96,12.73,0.0,2001,1,COLORADO
-27.03,-15.31,-2.78,35408.445,6.1305785,22.319998,12.97,0.0,2001,1,COLORADO
-21.78,-12.47,-4.38,35508.047,16.992609,46.44,9.5,0.2,2001,1,COLORADO
-24.03,-13.84,0.52,35610.266,12.904882,29.16,13.04,0.0,2001,1,COLORADO
