temp_min_C,temp_mean_C,temp_max_C,daylight_duration_sec,wind_speed_kph,wind_gusts_kph,radiation_MJm2,precip_sum,year,month,state
-8.14,-5.85,-1.89,33225.7,18.0036,41.760002,8.99,0.0,2001,1,CONNECTICUT
-12.04,-8.72,-3.79,33273.875,15.277749,30.599998,9.21,0.0,2001,1,CONNECTICUT
-15.59,-8.44,-0.69,33325.85,14.77755,30.239998,8.84,0.0,2001,1,CONNECTICUT
-9.74,-6.51,-0.49,33381.53,13.363711,29.519999,8.9,0.0,2001,1,CONNECTICUT
-14.29,-6.77,-0.44,33440.824,17.026896,41.039997,5.85,1.5,2001,1,CONNECTICUT
-7.24,-1.88,3.56,33503.63,18.668005,43.56,9.19,2.8,2001,1,CONNECTICUT
-8.49,-3.13,2.36,33569.863,15.617529,31.68,8.81,0.0,2001,1,CONNECTICUT
-8.19,-3.03,2.81,33639.41,8.669949,15.119999,5.18,1.0,2001,1,CONNECTICUT
-5.89,-1.33,0.26,33712.19,16.418526,39.239998,6.63,5.499999,2001,1,CONNECTICUT
-12.44,-8.08,-4.84,33788.105,22.26477,48.6,9.86,0.0,2001,1,CONNECTICUT
-10.59,-4.87,4.46,33867.062,15.827721,34.56,8.75,0.0,2001,1,CONNECTICUT
-5.34,-1.96,1.16,33948.957,16.179985,35.64,9.94,0.0,2001,1,CONNECTICUT
-8.44,-4.94,1.91,34033.883,10.495713,18.359999,9.32,0.0,2001,1,CONNECTICUT
-6.94,-1.95,3.61,34122.79,10.495713,20.16,7.49,0.0,2001,1,CONNECTICUT
-3.94,-0.47,2.01,34215.664,12.594856,28.8,1.86,5.2,2001,1,CONNECTICUT
-1.14,1.65,5.86,34312.32,16.279802,39.96,8.67,0.3,2001,1,CONNECTICUT
-3.79,0.38,4.21,34412.566,14.264361,32.760002,7.71,0.0,2001,1,CONNECTICUT
-5.59,-2.22,1.51,34516.223,10.1887,25.199999,7.33,0.2,2001,1,CONNECTICUT
-1.59,0.26,1.61,34623.105,12.371645,24.84,1.05,10.700001,2001,1,CONNECTICUT
-2.39,-0.35,1.01,34733.027,16.575644,37.079998,1.87,9.800002,2001,1,CONNECTICUT
-6.24,-4.48,-2.49,34845.816,25.671307,57.239998,8.89,10.7,2001,1,CONNECTICUT
