temp_min_C,temp_mean_C,temp_max_C,daylight_duration_sec,wind_speed_kph,wind_gusts_kph,radiation_MJm2,precip_sum,year,month,state
-6.48,-3.88,0.02,34046.17,20.598795,41.399998,8.62,0.0,2001,1,DELAWARE
-5.63,-4.1,-2.53,34090.17,22.159746,44.28,7.97,0.0,2001,1,DELAWARE
-6.58,-4.29,-0.48,34137.645,17.208603,33.48,10.17,0.0,2001,1,DELAWARE
-5.33,-2.54,1.17,34188.51,16.746773,34.2,8.78,0.0,2001,1,DELAWARE
-6.08,-2.08,0.77,34242.68,17.731598,35.64,2.79,1.5000001,2001,1,DELAWARE
-1.33,0.11,2.92,34300.066,22.608458,46.079998,9.63,0.0,2001,1,DELAWARE
-4.73,0.08,7.17,34360.594,13.049689,29.88,9.81,0.0,2001,1,DELAWARE
-0.93,1.22,4.02,34424.164,12.879752,21.96,2.71,4.9,2001,1,DELAWARE
-2.38,-0.27,0.97,34490.7,24.408424,50.399998,8.48,1.0,2001,1,DELAWARE
-3.18,-0.91,3.12,34560.11,25.417631,48.96,10.22,0.0,2001,1,DELAWARE
-0.18,2.6,8.37,34632.312,20.929596,42.839996,10.54,0.0,2001,1,DELAWARE
-0.88,1.66,5.27,34707.223,11.966953,27.359999,8.95,0.0,2001,1,DELAWARE
-3.23,0.04,5.37,34784.91,7.771331,16.56,10.24,0.0,2001,1,DELAWARE
-2.38,0.97,5.72,34866.254,8.654987,17.28,6.8,0.0,2001,1,DELAWARE
3.27,4.14,6.17,34951.246,11.304229,20.519999,3.88,0.8000001,2001,1,DELAWARE
1.67,3.96,7.67,35039.715,24.149532,48.96,10.11,0.8,2001,1,DELAWARE
-0.68,2.28,5.77,35131.492,16.267857,32.399998,9.58,0.0,2001,1,DELAWARE
-1.33,0.8,3.07,35226.406,8.891344,21.24,2.54,1.0,2001,1,DELAWARE
1.72,2.78,4.52,35324.305,10.538843,19.44,0.77,16.6,2001,1,DELAWARE
0.92,2.17,3.42,35425.0,21.38897,41.039997,1.05,26.2,2001,1,DELAWARE
-4.63,-1.7,0.67,35528.344,29.522196,55.8,11.79,8.599999,2001,1,DELAWARE
-5.53,-2.94,0.62,35634.168,16.45007,29.88,11.78,0.0,2001,1,DELAWARE
-5.08,-1.54,2.47,35742.324,7.2359104,19.44,11.57,0.0,2001,1,DELAWARE
-2.93,0.02,5.42,35852.64,12.984975,24.119999,10.98,0.0,2001,1,DELAWARE
-1.93,0.19,3.27,35964.984,24.640942,51.839996,10.31,0.0,2001,1,DELAWARE
-5.48,-2.35,1.62,36079.19,20.61766,39.96,12.18,0.0,2001,1,DELAWARE
-1.73,1.64,5.52,36195.11,27.345785,57.6,9.47,0.1,2001,1,DELAWARE
-2.53,-0.07,2.97,36312.598,24.014996,47.88,12.52,0.0,2001,1,DELAWARE
-3.23,-0.32,3.87,36431.52,8.78872,17.28,10.6,0.0,2001,1,DELAWARE
0.02,5.76,12.42,36551.72,31.222609,83.88,4.69,6.7,2001,1,DELAWARE
6.32,8.02,10.32,36673.07,26.525429,55.079998,10.66,0.0,2001,1,DELAWARE
1.97,4.77,8.07,36795.434,16.595179,40.32,11.49,0.0,2001,2,DELAWARE
1.42,4.46,8.82,36918.9,19.8,44.639996,10.68,0.5,2001,2,DELAWARE
-3.43,-1.21,3.77,37044.7,27.459293,59.039997,13.49,0.0,2001,2,DELAWARE
-3.73,-0.61,4.57,37172.9,13.661038,33.48,12.86,0.0,2001,2,DELAWARE
0.07,1.57,2.57,37303.32,23.34455,42.839996,1.09,34.0,2001,2,DELAWARE
-0.53,2.4,7.22,37435.805,19.803272,39.239998,11.78,0.1,2001,2,DELAWARE
-0.18,3.54,7.52,37570.19,14.707222,35.28,14.08,0.0,2001,2,DELAWARE
