temp_min_C,temp_mean_C,temp_max_C,daylight_duration_sec,wind_speed_kph,wind_gusts_kph,radiation_MJm2,precip_sum,year,month,state
-4.7,-2.54,1.6,34193.27,16.055353,36.719997,8.16,0.0,2001,1,DISTRICTOFCOLUMBIA
-3.45,-2.29,-1.2,34236.535,20.111729,44.639996,8.46,0.0,2001,1,DISTRICTOFCOLUMBIA
-5.25,-3.01,1.15,34283.21,15.782622,35.28,10.41,0.0,2001,1,DISTRICTOFCOLUMBIA
-5.1,-2.36,1.85,34333.223,15.0038395,34.56,7.82,0.0,2001,1,DISTRICTOFCOLUMBIA
-4.7,-1.48,2.0,34386.484,14.587776,32.399998,3.72,0.8,2001,1,DISTRICTOFCOLUMBIA
-2.9,0.15,4.6,34442.914,20.808498,46.44,8.3,0.0,2001,1,DISTRICTOFCOLUMBIA
-3.45,0.97,9.2,34502.426,10.00256,18.0,9.27,0.0,2001,1,DISTRICTOFCOLUMBIA
-1.45,0.77,3.6,34564.94,12.4811535,22.319998,2.43,4.7000003,2001,1,DISTRICTOFCOLUMBIA
-3.25,-1.14,1.1,34630.367,22.725668,50.039997,10.47,0.1,2001,1,DISTRICTOFCOLUMBIA
-3.25,-0.05,6.0,34698.625,21.09305,44.639996,10.65,0.0,2001,1,DISTRICTOFCOLUMBIA
-3.1,2.0,11.2,34769.63,14.77755,32.760002,10.63,0.0,2001,1,DISTRICTOFCOLUMBIA
-1.75,1.17,5.7,34843.297,9.422101,23.039999,7.13,0.0,2001,1,DISTRICTOFCOLUMBIA
-2.5,0.81,6.95,34919.703,7.7879906,15.84,10.88,0.0,2001,1,DISTRICTOFCOLUMBIA
-3.0,0.44,5.95,34999.707,9.085988,19.08,4.91,0.2,2001,1,DISTRICTOFCOLUMBIA
-0.9,3.8,8.5,35083.3,6.638072,18.359999,6.9,0.6,2001,1,DISTRICTOFCOLUMBIA
1.9,4.19,7.8,35170.316,20.929594,48.239998,9.32,0.0,2001,1,DISTRICTOFCOLUMBIA
-2.6,1.7,6.7,35260.586,12.783802,30.239998,8.68,0.0,2001,1,DISTRICTOFCOLUMBIA
-1.4,0.85,3.05,35353.95,8.669949,18.72,1.88,1.9000002,2001,1,DISTRICTOFCOLUMBIA
0.6,2.23,3.6,35450.242,10.137692,24.119999,0.6,23.600002,2001,1,DISTRICTOFCOLUMBIA
0.9,1.96,2.9,35549.305,17.81909,34.56,0.99,22.999998,2001,1,DISTRICTOFCOLUMBIA
-5.15,-1.93,0.8,35650.96,22.608458,48.239998,12.13,9.6,2001,1,DISTRICTOFCOLUMBIA
-8.15,-4.04,1.15,35755.074,9.693296,19.8,11.89,0.0,2001,1,DISTRICTOFCOLUMBIA
-3.3,-0.8,3.7,35861.473,7.4128532,14.4,11.96,0.0,2001,1,DISTRICTOFCOLUMBIA
-4.7,0.58,8.2,35970.02,9.449572,21.24,11.64,0.0,2001,1,DISTRICTOFCOLUMBIA
-2.35,0.27,3.1,36080.543,24.20314,52.92,9.34,0.0,2001,1,DISTRICTOFCOLUMBIA
-5.1,-1.53,3.85,36192.914,18.79255,39.6,11.93,0.0,2001,1,DISTRICTOFCOLUMBIA
-0.6,1.87,6.0,36306.977,30.113304,65.159996,8.1,0.2,2001,1,DISTRICTOFCOLUMBIA
-3.25,0.6,5.95,36422.582,17.58481,43.92,12.22,0.0,2001,1,DISTRICTOFCOLUMBIA
-2.75,1.21,7.0,36539.605,10.495713,22.68,10.81,0.0,2001,1,DISTRICTOFCOLUMBIA
0.75,6.2,13.7,36657.89,23.051247,74.88,5.84,7.8,2001,1,DISTRICTOFCOLUMBIA
6.75,9.04,11.9,36777.31,24.933735,55.8,8.93,0.0,2001,1,DISTRICTOFCOLUMBIA
-0.05,4.42,9.3,36897.727,14.480773,35.64,11.51,0.0,2001,2,DISTRICTOFCOLUMBIA
-0.0,3.74,10.0,37019.24,21.602999,51.48,12.21,0.3,2001,2,DISTRICTOFCOLUMBIA
-3.1,-0.38,3.35,37143.055,23.532547,51.839996,13.52,0.0,2001,2,DISTRICTOFCOLUMBIA
-4.35,-0.16,6.8,37269.23,14.440443,35.64,12.57,0.0,2001,2,DISTRICTOFCOLUMBIA
0.05,1.95,7.2,37397.605,18.723461,42.48,5.27,15.4,2001,2,DISTRICTOFCOLUMBIA
-2.05,3.1,9.15,37528.008,15.725037,29.519999,8.59,0.0,2001,2,DISTRICTOFCOLUMBIA
-1.6,4.45,10.7,37660.285,11.019764,29.88,13.86,0.0,2001,2,DISTRICTOFCOLUMBIA
-1.8,4.05,12.95,37794.285,12.0694,29.519999,11.49,0.0,2001,2,DISTRICTOFCOLUMBIA
5.5,10.07,18.25,37929.85,20.326454,43.56,11.03,0.0,2001,2,DISTRICTOFCOLUMBIA
5.4,11.34,15.95,38066.83,29.024128,62.639996,14.85,1.0,2001,2,DISTRICTOFCOLUMBIA
-3.0,0.72,4.25,38205.08,17.377226,38.519997,14.84,0.0,2001,2,DISTRICTOFCOLUMBIA
-3.05,0.17,5.55,38344.45,14.471821,34.56,14.23,0.0,2001,2,DISTRICTOFCOLUMBIA
1.3,5.15,12.2,38484.8,9.007196,21.24,11.61,1.8000001,2001,2,DISTRICTOFCOLUMBIA
5.65,7.54,10.35,38625.996,14.332341,35.64,5.06,0.2,2001,2,DISTRICTOFCOLUMBIA
6.75,10.41,12.7,38767.902,16.870138,33.12,1.69,0.5,2001,2,DISTRICTOFCOLUMBIA
4.75,5.71,6.35,38910.383,9.114471,16.56,1.4,8.299999,2001,2,DISTRICTOFCOLUMBIA
1.5,4.17,6.75,39053.297,28.766228,60.839996,14.78,8.9,2001,2,DISTRICTOFCOLUMBIA
-5.0,-1.23,2.45,39196.527,18.864824,36.719997,16.69,0.0,2001,2,DISTRICTOFCOLUMBIA
-3.4,0.88,8.45,39339.94,18.919704,42.839996,14.9,0.0,2001,2,DISTRICTOFCOLUMBIA
1.0,6.49,16.75,39483.414,17.114204,35.64,12.18,0.4,2001,2,DISTRICTOFCOLUMBIA
4.45,7.19,11.3,39626.824,22.42427,49.68,14.93,0.0,2001,2,DISTRICTOFCOLUMBIA
-5.0,-2.45,3.0,39770.266,16.645864,37.44,3.15,10.3,2001,2,DISTRICTOFCOLUMBIA
-7.8,-2.08,5.55,39914.953,16.595179,35.28,14.1,1.8,2001,2,DISTRICTOFCOLUMBIA
-6.0,-1.28,2.55,40060.977,13.004922,23.759998,13.3,0.0,2001,2,DISTRICTOFCOLUMBIA
-3.85,4.16,13.95,40208.215,24.1388,74.88,3.38,1.8,2001,2,DISTRICTOFCOLUMBIA
4.0,9.72,15.05,40356.54,21.94524,43.92,17.63,0.0,2001,2,DISTRICTOFCOLUMBIA
-1.0,6.16,13.85,40505.836,14.4,29.519999,17.19,0.0,2001,2,DISTRICTOFCOLUMBIA
1.75,4.96,9.55,40655.984,14.512064,36.719997,15.87,1.3000001,2001,2,DISTRICTOFCOLUMBIA
-3.45,1.47,8.05,40806.867,17.64,39.239998,18.2,0.0,2001,3,DISTRICTOFCOLUMBIA
0.05,5.38,11.8,40958.36,12.964998,31.319998,11.71,0.0,2001,3,DISTRICTOFCOLUMBIA
0.65,6.87,12.95,41110.36,13.527572,28.44,13.51,0.0,2001,3,DISTRICTOFCOLUMBIA
2.05,5.09,9.1,41262.75,19.513195,49.68,1.94,6.5000005,2001,3,DISTRICTOFCOLUMBIA
-0.35,1.93,6.05,41415.42,26.552288,56.88,9.37,5.6,2001,3,DISTRICTOFCOLUMBIA
-4.75,-1.26,3.2,41568.258,34.358788,72.36,11.29,0.0,2001,3,DISTRICTOFCOLUMBIA
0.2,3.16,9.45,41721.156,24.442913,54.36,18.0,0.0,2001,3,DISTRICTOFCOLUMBIA
-2.8,3.36,9.8,41874.01,16.08761,30.239998,18.38,0.0,2001,3,DISTRICTOFCOLUMBIA
0.25,3.65,6.25,42026.707,23.18579,54.0,15.44,4.2,2001,3,DISTRICTOFCOLUMBIA
-1.95,2.17,7.6,42179.14,20.150354,43.199997,20.23,0.0,2001,3,DISTRICTOFCOLUMBIA
-2.2,4.97,15.55,42331.203,15.509274,36.719997,15.77,0.0,2001,3,DISTRICTOFCOLUMBIA
-1.95,4.97,10.9,42482.793,17.10284,37.8,19.43,0.0,2001,3,DISTRICTOFCOLUMBIA
4.75,9.83,18.15,42633.797,17.283749,53.639996,11.75,10.9,2001,3,DISTRICTOFCOLUMBIA
5.6,9.27,14.1,42784.312,27.009598,58.32,17.58,0.0,2001,3,DISTRICTOFCOLUMBIA
2.05,6.18,11.15,42935.453,11.808878,27.72,6.53,5.2000003,2001,3,DISTRICTOFCOLUMBIA
3.0,6.57,10.75,43087.32,13.044722,30.239998,8.4,2.0,2001,3,DISTRICTOFCOLUMBIA
5.15,8.49,12.5,43239.82,8.942214,27.72,7.93,1.5,2001,3,DISTRICTOFCOLUMBIA
0.35,5.43,10.15,43392.85,23.73271,54.36,21.62,0.0,2001,3,DISTRICTOFCOLUMBIA
-2.75,4.47,11.65,43546.312,10.966713,28.44,22.14,0.0,2001,3,DISTRICTOFCOLUMBIA
-1.6,4.58,10.55,43700.113,16.595179,36.719997,13.91,0.0,2001,3,DISTRICTOFCOLUMBIA
5.2,6.75,8.85,43854.15,34.458603,78.84,2.24,18.1,2001,3,DISTRICTOFCOLUMBIA
4.3,7.38,12.1,44008.33,33.66337,72.36,14.85,1.4,2001,3,DISTRICTOFCOLUMBIA
4.0,8.67,13.55,44162.56,29.949316,64.439995,20.46,0.2,2001,3,DISTRICTOFCOLUMBIA
1.35,7.5,15.45,44316.734,22.288042,55.44,10.82,0.1,2001,3,DISTRICTOFCOLUMBIA
-1.6,4.15,9.7,44470.754,19.602652,42.839996,19.18,0.0,2001,3,DISTRICTOFCOLUMBIA
-0.2,1.99,5.55,44624.535,21.9718,55.44,23.6,0.0,2001,3,DISTRICTOFCOLUMBIA
-4.45,-0.16,4.8,44777.97,15.077082,36.36,20.85,0.0,2001,3,DISTRICTOFCOLUMBIA
-2.85,2.36,9.35,44930.957,8.557102,24.48,23.54,0.0,2001,3,DISTRICTOFCOLUMBIA
0.8,3.39,5.95,45083.4,18.532135,33.48,4.56,6.6000004,2001,3,DISTRICTOFCOLUMBIA
4.4,8.25,12.85,45235.195,25.744402,66.24,12.61,26.5,2001,3,DISTRICTOFCOLUMBIA
3.45,6.52,9.9,45386.246,12.904882,28.08,7.56,0.8,2001,3,DISTRICTOFCOLUMBIA
3.45,7.13,10.8,45536.44,9.605998,27.359999,11.4,1.4000001,2001,4,DISTRICTOFCOLUMBIA
3.8,7.71,12.6,45685.676,21.479664,47.519997,15.31,0.0,2001,4,DISTRICTOFCOLUMBIA
0.95,8.14,15.6,45834.043,11.901798,29.16,21.06,0.0,2001,4,DISTRICTOFCOLUMBIA
6.2,9.66,14.6,45982.574,13.479583,29.16,21.95,0.0,2001,4,DISTRICTOFCOLUMBIA
2.6,9.52,17.0,46131.375,9.007196,22.319998,24.26,0.0,2001,4,DISTRICTOFCOLUMBIA
7.55,12.85,20.8,46280.35,13.896187,37.44,12.81,1.9000001,2001,4,DISTRICTOFCOLUMBIA
11.55,15.86,18.6,46429.406,19.592731,41.760002,6.55,0.0,2001,4,DISTRICTOFCOLUMBIA
8.4,13.33,22.75,46578.445,17.595861,38.519997,18.24,0.4,2001,4,DISTRICTOFCOLUMBIA
10.9,19.57,29.45,46727.375,14.869351,36.719997,21.57,0.3,2001,4,DISTRICTOFCOLUMBIA
12.65,17.5,23.65,46876.098,14.587776,31.319998,15.17,0.2,2001,4,DISTRICTOFCOLUMBIA
9.55,11.51,15.7,47024.516,11.841756,28.44,2.55,11.899999,2001,4,DISTRICTOFCOLUMBIA
11.15,16.22,26.5,47172.523,17.58481,39.6,16.73,0.0,2001,4,DISTRICTOFCOLUMBIA
15.6,19.78,23.65,47320.023,20.26899,55.079998,15.7,2.3,2001,4,DISTRICTOFCOLUMBIA
6.9,14.45,20.7,47466.914,12.413476,29.16,26.13,0.0,2001,4,DISTRICTOFCOLUMBIA
10.15,14.8,20.55,47613.086,15.990646,35.64,20.07,2.2,2001,4,DISTRICTOFCOLUMBIA
8.4,9.99,12.2,47758.438,17.057314,40.32,8.08,6.3999987,2001,4,DISTRICTOFCOLUMBIA
2.85,7.42,11.3,47902.848,22.476227,52.199997,25.03,3.1,2001,4,DISTRICTOFCOLUMBIA
2.8,5.85,9.1,48046.22,27.459293,60.120003,19.96,2.2,2001,4,DISTRICTOFCOLUMBIA
-0.05,6.98,14.5,48188.43,15.546833,36.36,19.78,0.0,2001,4,DISTRICTOFCOLUMBIA
4.1,11.01,19.5,48329.37,14.618837,31.68,16.83,0.0,2001,4,DISTRICTOFCOLUMBIA
11.55,15.99,21.9,48468.914,13.849476,28.8,13.18,0.1,2001,4,DISTRICTOFCOLUMBIA
14.65,20.49,28.75,48606.95,15.273505,29.519999,22.74,0.0,2001,4,DISTRICTOFCOLUMBIA
15.55,21.92,29.55,48743.53,14.404499,31.319998,24.7,0.0,2001,4,DISTRICTOFCOLUMBIA
17.45,21.46,27.0,48879.668,23.241617,48.96,20.54,0.8,2001,4,DISTRICTOFCOLUMBIA
9.1,12.14,18.15,49015.44,18.720001,42.839996,15.58,0.0,2001,4,DISTRICTOFCOLUMBIA
4.0,10.7,17.4,49150.75,14.186923,33.48,27.93,0.0,2001,4,DISTRICTOFCOLUMBIA
5.15,14.62,24.1,49285.492,19.486609,42.12,25.43,0.0,2001,4,DISTRICTOFCOLUMBIA
10.95,15.13,19.35,49419.55,17.163355,41.039997,28.32,0.0,2001,4,DISTRICTOFCOLUMBIA
