temp_min_C,temp_mean_C,temp_max_C,daylight_duration_sec,wind_speed_kph,wind_gusts_kph,radiation_MJm2,precip_sum,year,month,state
0.06,5.59,13.21,37506.688,10.182337,24.84,15.22,0.0,2001,1,FLORIDA
4.66,7.62,11.16,37533.95,13.905509,32.039997,10.32,0.0,2001,1,FLORIDA
3.31,8.04,14.26,37563.375,13.039754,28.08,15.31,0.0,2001,1,FLORIDA
2.61,7.59,11.86,37594.914,16.75064,37.8,15.74,0.0,2001,1,FLORIDA
0.26,7.09,16.31,37628.516,20.240196,39.6,15.12,0.0,2001,1,FLORIDA
9.01,13.64,19.26,37664.125,13.1041975,30.960001,15.61,0.0,2001,1,FLORIDA
4.71,11.43,20.06,37701.703,10.464798,24.84,15.48,0.0,2001,1,FLORIDA
8.56,14.56,22.96,37741.19,23.199759,58.32,8.99,0.7,2001,1,FLORIDA
6.96,12.49,18.06,37782.543,22.26768,46.8,15.99,0.3,2001,1,FLORIDA
1.36,7.28,15.31,37825.7,16.923828,34.92,15.62,0.0,2001,1,FLORIDA
6.61,13.14,21.41,37870.617,10.383987,27.72,15.15,0.0,2001,1,FLORIDA
9.26,14.68,21.96,37917.25,21.325253,41.760002,7.2,1.9,2001,1,FLORIDA
8.76,12.76,17.36,37965.637,17.174677,31.319998,13.38,0.0,2001,1,FLORIDA
9.56,14.95,23.11,38016.33,10.24578,22.319998,12.26,0.0,2001,1,FLORIDA
13.66,18.72,24.36,38069.33,7.928177,22.319998,11.28,0.0,2001,1,FLORIDA
14.16,18.67,24.41,38124.527,10.1376915,21.96,10.48,0.0,2001,1,FLORIDA
15.81,20.7,25.86,38181.836,7.968939,20.16,11.76,0.0,2001,1,FLORIDA
18.11,21.93,26.26,38241.137,10.495713,27.72,12.99,0.0,2001,1,FLORIDA
16.16,21.11,28.76,38302.34,21.933426,44.639996,15.0,0.0,2001,1,FLORIDA
12.16,18.49,24.16,38365.34,24.269983,50.76,4.37,7.3999996,2001,1,FLORIDA
