temp_min_C,temp_mean_C,temp_max_C,daylight_duration_sec,wind_speed_kph,wind_gusts_kph,radiation_MJm2,precip_sum,year,month,state
-3.51,-0.85,4.29,36070.473,14.869351,35.64,10.03,0.0,2001,1,GEORGIA
-4.71,-1.15,3.94,36104.53,11.885453,26.64,13.27,0.0,2001,1,GEORGIA
-6.51,-1.69,4.34,36141.285,9.793059,21.599998,13.59,0.0,2001,1,GEORGIA
-3.51,0.04,7.74,36180.67,12.979984,27.72,13.18,0.0,2001,1,GEORGIA
-1.91,2.37,10.84,36222.633,18.057508,43.199997,12.81,0.0,2001,1,GEORGIA
-0.16,4.03,10.44,36267.1,14.587776,30.239998,13.3,0.0,2001,1,GEORGIA
-0.26,4.5,13.39,36314.01,10.105681,20.880001,9.8,0.0,2001,1,GEORGIA
5.39,7.98,10.14,36363.297,17.57744,50.039997,8.7,14.0,2001,1,GEORGIA
-1.31,1.8,5.14,36414.9,23.4,52.199997,12.45,0.0,2001,1,GEORGIA
-3.21,1.8,9.09,36468.75,15.021105,28.44,13.09,0.0,2001,1,GEORGIA
-1.21,3.17,8.79,36524.777,9.449572,19.44,7.07,0.1,2001,1,GEORGIA
3.64,5.8,7.44,36582.938,15.546833,36.719997,3.95,8.599999,2001,1,GEORGIA
1.54,5.99,13.14,36643.273,12.783802,28.08,13.41,0.0,2001,1,GEORGIA
4.54,8.35,15.29,36706.473,10.365251,24.119999,8.5,0.0,2001,1,GEORGIA
9.64,11.9,17.74,36772.535,11.304229,30.960001,5.86,0.6,2001,1,GEORGIA
6.39,9.69,13.54,36841.324,13.1041975,32.399998,4.81,1.4000001,2001,1,GEORGIA
6.44,7.9,10.69,36912.71,7.491114,16.919998,3.2,3.3000002,2001,1,GEORGIA
8.49,10.91,16.19,36986.574,9.83268,19.08,3.23,2.2,2001,1,GEORGIA
13.74,15.91,18.89,37062.785,23.491207,72.72,3.06,12.2,2001,1,GEORGIA
2.79,7.44,17.34,37141.22,23.358423,53.639996,8.73,5.3000007,2001,1,GEORGIA
-2.16,1.53,7.04,37221.746,19.376562,45.36,13.51,0.0,2001,1,GEORGIA
-1.51,3.07,9.29,37304.246,9.983106,28.44,14.78,0.0,2001,1,GEORGIA
-0.41,4.1,11.74,37388.598,13.004922,34.2,14.7,0.0,2001,1,GEORGIA
1.94,6.04,11.84,37474.68,15.141414,36.0,13.26,0.0,2001,1,GEORGIA
1.54,4.61,7.49,37562.375,19.376562,45.719997,15.46,0.0,2001,1,GEORGIA
-1.96,2.6,9.09,37651.566,11.726277,30.239998,15.19,0.0,2001,1,GEORGIA
5.34,8.86,15.89,37742.145,15.192682,37.079998,13.1,0.0,2001,1,GEORGIA
0.49,7.07,15.29,37833.984,12.387348,20.519999,15.28,0.0,2001,1,GEORGIA
3.84,9.58,18.34,37926.99,21.868332,51.12,12.84,0.0,2001,1,GEORGIA
10.94,14.3,16.44,38021.035,19.914217,75.96,12.88,17.599998,2001,1,GEORGIA
9.84,13.06,17.44,38116.023,16.704155,35.64,14.07,0.0,2001,1,GEORGIA
6.94,10.01,12.89,38211.844,13.891522,27.359999,8.32,0.0,2001,2,GEORGIA
5.79,8.12,11.49,38308.57,15.683774,39.6,11.23,0.0,2001,2,GEORGIA
0.44,5.09,8.94,38407.17,10.296251,25.919998,11.74,0.0,2001,2,GEORGIA
3.34,7.26,13.24,38507.695,6.8777895,17.64,15.48,0.4,2001,2,GEORGIA
2.49,7.6,14.49,38610.004,15.484185,39.239998,16.32,0.0,2001,2,GEORGIA
0.99,7.49,15.09,38713.977,11.440979,27.0,16.57,0.0,2001,2,GEORGIA
3.24,9.76,18.44,38819.49,10.829958,17.28,16.24,0.0,2001,2,GEORGIA
5.54,11.59,19.84,38926.406,10.009036,27.0,15.5,0.0,2001,2,GEORGIA
9.39,13.98,21.29,39034.62,16.595179,41.399998,16.0,0.0,2001,2,GEORGIA
10.14,13.93,16.44,39144.004,19.694992,38.88,13.43,2.4,2001,2,GEORGIA
3.99,8.54,14.19,39254.438,13.397612,35.28,14.67,0.3,2001,2,GEORGIA
5.39,7.51,10.54,39365.812,12.599998,29.16,1.66,4.8,2001,2,GEORGIA
4.94,6.27,8.69,39478.016,10.195057,23.759998,2.16,0.90000004,2001,2,GEORGIA
8.29,11.57,18.79,39590.926,12.682018,28.8,5.88,0.0,2001,2,GEORGIA
14.29,16.85,21.79,39704.45,19.483284,37.8,8.8,0.0,2001,2,GEORGIA
15.39,17.77,21.39,39818.46,18.581022,43.56,8.91,0.0,2001,2,GEORGIA
6.89,13.49,19.94,39932.867,28.820242,79.56,17.57,3.0000002,2001,2,GEORGIA
