temp_min_C,temp_mean_C,temp_max_C,daylight_duration_sec,wind_speed_kph,wind_gusts_kph,radiation_MJm2,precip_sum,year,month,state
22.95,23.67,24.3,39149.438,32.664917,43.56,15.44,0.8,2001,1,HAWAII
22.9,23.7,24.5,39169.13,34.366333,43.199997,13.42,4.4000006,2001,1,HAWAII
23.0,23.42,23.95,39190.387,18.171976,24.119999,13.0,1.2000002,2001,1,HAWAII
23.55,23.76,23.95,39213.17,16.831684,19.8,14.5,0.3,2001,1,HAWAII
23.65,23.87,24.1,39237.453,12.43434,18.0,14.86,0.0,2001,1,HAWAII
23.4,23.66,23.9,39263.19,16.548256,24.119999,16.75,0.0,2001,1,HAWAII
23.2,23.54,23.85,39290.348,22.608458,30.239998,17.54,0.0,2001,1,HAWAII
23.25,23.61,24.0,39318.9,18.0,25.919998,17.85,0.0,2001,1,HAWAII
23.9,24.44,24.95,39348.793,35.97299,50.399998,17.4,0.0,2001,1,HAWAII
24.05,24.54,25.05,39380.004,37.84283,49.68,18.03,0.0,2001,1,HAWAII
23.85,24.46,24.95,39412.496,21.897945,27.72,17.28,0.0,2001,1,HAWAII
23.5,24.02,24.55,39446.234,32.449963,45.36,16.27,0.0,2001,1,HAWAII
23.1,23.85,24.95,39481.242,31.205997,44.639996,16.14,0.1,2001,1,HAWAII
23.4,23.69,23.95,39517.93,27.067116,39.96,16.66,0.0,2001,1,HAWAII
23.35,23.63,24.0,39556.293,31.293089,43.92,17.6,0.0,2001,1,HAWAII
23.4,23.81,24.35,39596.26,31.394394,39.96,18.15,0.0,2001,1,HAWAII
23.4,23.75,24.1,39637.758,20.188908,27.0,17.79,0.0,2001,1,HAWAII
22.95,23.47,23.9,39680.715,29.957972,40.68,18.78,0.0,2001,1,HAWAII
23.65,24.0,24.4,39725.05,27.607563,38.16,18.59,0.0,2001,1,HAWAII
23.3,23.75,24.25,39770.71,38.047756,52.56,18.28,0.0,2001,1,HAWAII
23.8,24.05,24.4,39817.605,25.509243,33.48,18.06,0.0,2001,1,HAWAII
23.4,23.82,24.45,39865.67,40.883385,59.399998,18.05,0.0,2001,1,HAWAII
23.0,23.38,24.05,39914.848,42.93066,63.72,19.02,0.0,2001,1,HAWAII
23.5,23.91,24.55,39965.055,29.598919,41.039997,19.31,0.0,2001,1,HAWAII
22.8,23.59,24.8,40016.23,33.74796,50.399998,18.85,0.0,2001,1,HAWAII
23.1,23.72,24.4,40068.305,33.805515,47.16,19.12,0.0,2001,1,HAWAII
22.75,23.41,24.15,40121.21,33.518684,46.079998,19.38,0.0,2001,1,HAWAII
22.45,23.21,23.8,40174.887,40.65291,54.36,19.53,0.0,2001,1,HAWAII
